device_name_pattern,precision,peak_tflops
NVIDIA H200 NVL,fp8,1670.5
NVIDIA H200 NVL,bf16,835.5
NVIDIA H200 NVL,fp16,835.5
NVIDIA H200 NVL,tf32,417.5
NVIDIA H200 NVL,fp32,60
NVIDIA H200 SXM,fp8,1979
NVIDIA H200 SXM,bf16,989.5
NVIDIA H200 SXM,fp16,989.5
NVIDIA H200 SXM,tf32,494.5
NVIDIA H200 SXM,fp32,67
NVIDIA H200,fp8,1979
NVIDIA H200,bf16,989.5
NVIDIA H200,fp16,989.5
NVIDIA H200,tf32,494.5
NVIDIA H200,fp32,67
NVIDIA H100 NVL,fp8,1670.5
NVIDIA H100 NVL,bf16,835.5
NVIDIA H100 NVL,fp16,835.5
NVIDIA H100 NVL,tf32,417.5
NVIDIA H100 NVL,fp32,60
NVIDIA H100 SXM,fp8,1979
NVIDIA H100 SXM,bf16,989.5
NVIDIA H100 SXM,fp16,989.5
NVIDIA H100 SXM,tf32,494.5
NVIDIA H100 SXM,fp32,67
NVIDIA H100 PCIe,fp8,1513
NVIDIA H100 PCIe,bf16,756.5
NVIDIA H100 PCIe,fp16,756.5
NVIDIA H100 PCIe,tf32,378
NVIDIA H100 PCIe,fp32,51
NVIDIA A100 80GB SXM,bf16,312
NVIDIA A100 80GB SXM,fp16,312
NVIDIA A100 80GB SXM,tf32,156
NVIDIA A100 80GB SXM,fp32,19.5
NVIDIA A100 80GB PCIe,bf16,312
NVIDIA A100 80GB PCIe,fp16,312
NVIDIA A100 80GB PCIe,tf32,156
NVIDIA A100 80GB PCIe,fp32,19.5
NVIDIA A100 80GB,bf16,312
NVIDIA A100 80GB,fp16,312
NVIDIA A100 80GB,tf32,156
NVIDIA A100 80GB,fp32,19.5
NVIDIA A100 40GB,bf16,312
NVIDIA A100 40GB,fp16,312
NVIDIA A100 40GB,tf32,156
NVIDIA A100 40GB,fp32,19.5
NVIDIA L40S,fp8,733
NVIDIA L40S,bf16,362.05
NVIDIA L40S,fp16,362.05
NVIDIA L40S,tf32,183
NVIDIA L40S,fp32,91.6
NVIDIA GeForce RTX 4090,bf16,165.15
NVIDIA GeForce RTX 4090,fp16,165.15
NVIDIA GeForce RTX 4090,tf32,82.58
NVIDIA GeForce RTX 4090,fp32,82.58
NVIDIA RTX 4090,bf16,165.15
NVIDIA RTX 4090,fp16,165.15
NVIDIA RTX 4090,tf32,82.58
NVIDIA RTX 4090,fp32,82.58
